Key,English(en),Spanish(es),Portuguese (Brazil)(pt-BR),Italian(it),Korean(ko)
DM_Dialogue2_10,Good luck. Frailejón! May knowledge guide you on your journey towards restoration.,¡Buena suerte. Frailejón! Que el conocimiento te guíe en tu viaje hacia la restauración. ,Boa sorte. Frailejón! Que o conhecimento o guie em sua jornada rumo à restauração.,Buona fortuna. Frailejón! Possa la conoscenza guidarti nel tuo viaggio verso la restaurazione.,행운을 빌어요. Frailejón! 지식이 회복을 향한 여정에서 당신을 안내할 수 있기를 바랍니다.
DM_Dialogue2_11,I will be here to take care of you and guide you in this noble purpose.,Estaré aquí para cuidarte y guiarte en este noble propósito.,Estarei aqui para cuidar de você e orientá-lo neste nobre propósito.,Sarò qui per prendermi cura di te e guidarti in questo nobile scopo.,나는 이 고귀한 목적을 위해 여러분을 돌보고 안내하기 위해 여기에 있을 것입니다.
DM_Dialogue2_12,Don't forget Life always springs from the most unexpected places and always re-emerges despite catastrophes., No olvides La vida siempre brota de los lugares más inesperados y siempre vuelve a resurgir a pesar de las catástrofes.,Não se esqueça: A vida sempre surge dos lugares mais inesperados e sempre ressurge apesar das catástrofes.,Non dimenticare La vita nasce sempre dai luoghi più inaspettati e riemerge sempre nonostante le catastrofi.,잊지 마세요. 인생은 항상 가장 예상치 못한 곳에서 솟아나고 재난에도 불구하고 항상 다시 나타납니다.
DM_Dialogue2_13,However. this is no excuse for doing your job poorly. Our duty as advanced beings is to care for and protect all living beings that They need it. Go ahead!, Sin embargo esto no es excusa para hacer mal tú trabajo. nuestro deber cómo seres avanzados es  cuidar y proteger a todos los seres vivos que lo necesitan. ¡Adelante!,No entanto, isso não é desculpa para fazer mal o seu trabalho. Nosso dever como seres avançados é cuidar e proteger todos os seres vivos de que precisam. isso. Vá em frente!,Tuttavia, questa non è una scusa per fare male il proprio lavoro. Il nostro dovere di esseri avanzati è quello di prenderci cura e proteggere tutti gli esseri viventi di cui hanno bisogno. Vai avanti!,그러나 이것은 당신의 일을 제대로 수행하지 못한 것에 대한 변명이 될 수 없습니다. 진보된 존재로서 우리의 의무는 그들이 필요로 하는 모든 생명체를 돌보고 보호하는 것입니다. 어서 가세요!
DM_Dialogue2_14,Dear Frailejónes. in the fascinating kingdom of Triforestation. Now they can embark on an eco-friendly competition.,Queridos Frailejónes en el fascinante reino de Triforestation: ahora pueden embarcarse en una competencia eco-amistosa,Prezado Frailejónes. no fascinante reino da Triforestation. Agora eles podem embarcar em uma competição ecologicamente correta.,Cari Frailejónes. nell'affascinante regno della Triforestation. Ora possono lanciarsi in una competizione ecosostenibile.,친애하는 Frailejónes. Triforestation의 매혹적인 왕국에서. 이제 친환경 경쟁에 나설 수 있게 됐다.
DM_Dialogue2_15,In this mode. each of you will be a guardian of your own corner of the new Pangea.,En este modo. cada uno de ustedes será un guardián de su propio rincón de la nueva Pangea.,Neste modo. cada um de vocês será um guardião do seu próprio canto da nova Pangéia.,In questa modalità. ognuno di voi sarà custode del proprio angolo della nuova Pangea.,이 모드에서. 여러분 각자는 새로운 판게아의 한 구석을 지키는 수호자가 될 것입니다.
DM_Dialogue2_16,But. Listen carefully. my loved ones.,Pero. escuchen con atención. mis amados. ,Mas. Ouça com atenção. meus entes queridos.,Ma. Ascolta attentamente. i miei cari.,하지만. 잘 들어. 내 사랑하는 사람들.
DM_Dialogue2_17,It's not just about building harmony. but to challenge the other Frailejón.,No solo se trata de construir armonía. sino de desafiar al otro Frailejón.,Não se trata apenas de construir harmonia. mas para desafiar o outro Frailejón.,Non si tratta solo di costruire armonia. ma per sfidare l'altro Frailejón.,단순히 조화를 이루는 것이 아닙니다. 하지만 다른 Frailejón에 도전합니다.
DM_Dialogue2_18,They can send plagues or trigger natural events in the opponent's area., Pueden enviar plagas o desencadenar eventos naturales en el área del oponente.,Eles podem enviar pragas ou desencadear eventos naturais na área adversária.,Possono inviare piaghe o innescare eventi naturali nell'area dell'avversario.,그들은 상대 지역에 역병을 보내거나 자연 현상을 일으킬 수 있습니다.
DM_MP_Dialogue3_1,Yeah. Yeah. but with wisdom! Each tactic has its cost. and they must weigh the balance between attack and defense.,¡Sí. sí. pero con sabiduría! Cada táctica tiene su costo. y deberán sopesar el equilibrio entre el ataque y la defensa. ,Sim. Sim. mas com sabedoria! Cada tática tem seu custo. e devem pesar a balança entre ataque e defesa.,Sì. Sì. ma con saggezza! Ogni tattica ha il suo costo. e devono valutare l'equilibrio tra attacco e difesa.,응. 응. 그러나 지혜로! 각 전술에는 비용이 있습니다. 공격과 방어 사이의 균형을 맞춰야 합니다.
DM_MP_Dialogue3_2,Pests and events are like natural whispers of challenge and remember if they get out of control they could affect you too!,Las plagas y eventos son como susurros naturales de desafío y recuerda si salen de control también podrían afectarte!,Pragas e eventos são como sussurros naturais de desafio e lembre-se, se ficarem fora de controle, poderão afetar você também!,Parassiti ed eventi sono come sussurri naturali di sfida e ricorda che se sfuggono al controllo potrebbero influenzare anche te!,해충과 사건은 도전에 대한 자연스러운 속삭임과 같으며 통제할 수 없게 되면 귀하에게도 영향을 미칠 수 있다는 점을 기억하십시오!
DM_MP_Dialogue4_1,Remember. my little ones. Victory is not only measured in points.,Recuerden. mis pequeños. la victoria no solo se mide en puntos.,Lembrar. meus pequenos. A vitória não é medida apenas em pontos.,Ricordare. i miei piccoli. La vittoria non si misura solo in punti.,기억하다. 내 작은 것들. 승리는 포인트로만 측정되지 않습니다.
DM_MP_Dialogue4_2,But in the ability to harmonize their ecosystem despite the storms that the other may unleash.,Sino en la habilidad de armonizar su ecosistema a pesar de las tormentas que el otro pueda desatar.,Mas na capacidade de harmonizar o seu ecossistema apesar das tempestades que o outro possa desencadear.,Ma nella capacità di armonizzare il proprio ecosistema nonostante le tempeste che l’altro può scatenare.,그러나 다른 사람이 촉발할 수 있는 폭풍에도 불구하고 생태계를 조화시킬 수 있는 능력이 있습니다.
DM_MP_Dialogue4_3,Let the competition begin and may the new Pangea flourish with your cunning and care!,¡Que la competencia comience y que la nueva Pangea florezca con su astucia y cuidado!,Que comece a competição e que a nova Pangéia floresça com a sua astúcia e cuidado!,Che la competizione abbia inizio e che la nuova Pangea fiorisca con la tua astuzia e cura!,경쟁을 시작하고 새로운 판게아가 여러분의 교활함과 보살핌으로 번성하길 바랍니다!
